uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
spotify:track:1s8TAeakEw0eFBwIru8fJO,0.674,0.892,9,-4.58,1,0.177,0.079,0.000252,0.346,0.458,145.975,aggressive
spotify:track:0L3KTdcdKyugN5j7hB3yj4,0.519,0.812,5,-5.253,0,0.0955,0.00376,4.90E-06,0.166,0.125,139.923,aggressive
spotify:track:4irYeuAi87yyGHcI4h9s0x,0.849,0.648,7,-6.188,1,0.0832,0.0725,0.00592,0.0984,0.196,106.075,aggressive
spotify:track:7tUXZgLbOCvRJ9FBlairoU,0.909,0.573,5,-6.856,1,0.181,0.0332,0.0163,0.657,0.392,144.946,aggressive
spotify:track:5DNTCKpA8utYEWLIBcfkBS,0.774,0.413,1,-8.835,1,0.31,0.0112,6.96E-05,0.218,0.127,108.036,aggressive
spotify:track:0KRKqIJPX6LT9v1ZQGbfn7,0.829,0.59,9,-7.818,0,0.263,0.0391,0.0107,0.114,0.332,112.97,aggressive
spotify:track:658I1uDnmLSiltFCf98AWE,0.727,0.62,8,-6.443,1,0.306,0.398,0,0.0926,0.555,105.003,aggressive
spotify:track:3PLHEJsJTGsDg2ExhxZetY,0.77,0.609,9,-6.38,1,0.372,0.00624,0.000121,0.128,0.293,140.15,aggressive
spotify:track:5VfMwt9My7JDyfbxilXjkw,0.499,0.665,1,-5.175,1,0.325,0.131,0.00219,0.132,0.197,119.934,aggressive
spotify:track:6kp0inxIexxSiDJfWqq0ZL,0.779,0.767,11,-5.462,0,0.258,0.00214,0,0.102,0.523,91.981,aggressive
spotify:track:2Vc6NJ9PW9gD9q343XFRKx,0.831,0.814,2,-7.364,1,0.42,0.0598,0.0134,0.0556,0.389,156.985,aggressive
spotify:track:0tZoZZlZOxLXidgrNrF38p,0.398,0.805,0,-10.423,0,0.203,0.225,0.0343,0.102,0.303,89.928,aggressive
spotify:track:06JaZOCOBEWlsY0TEfBwqc,0.348,0.925,11,-6.411,0,0.326,0.00171,2.31E-06,0.372,0.142,139.056,aggressive
spotify:track:2fMCv3yixOLxHX1VIkJkSi,0.465,0.96,2,-4.772,1,0.467,0.0878,6.11E-05,0.383,0.164,119.938,aggressive
spotify:track:2LymrmdPzZttyG6fNQCuym,0.401,0.736,9,-4.99,1,0.311,0.104,0.0571,0.198,0.301,100.036,aggressive
spotify:track:2XLdbJRfl2UHHzIurEFgAA,0.628,0.573,1,-8.161,1,0.0673,0.00362,0,0.0874,0.0387,115.503,aggressive
spotify:track:3cy5kSb3ZxYKoPg3WRgQoT,0.56,0.976,1,-0.631,1,0.0527,0.0713,0,0.315,0.116,140.065,aggressive
spotify:track:7FtWVXTk9Uw9gTDxUrt8ar,0.556,0.992,0,1.012,1,0.357,0.0216,0,0.453,0.544,139.974,aggressive
spotify:track:6Fz6DNeFPJN8PwuSEJkzw5,0.523,0.867,9,-3.397,1,0.225,0.0406,3.81E-06,0.384,0.495,114.422,aggressive
spotify:track:1ofn1fyK3vqoW9brbxn5pF,0.514,0.636,9,-8.255,1,0.0477,0.00763,0.864,0.406,0.0936,139.953,aggressive
spotify:track:1eBg9Rix0XTms2en8xSn7E,0.569,0.907,9,-5.226,1,0.391,0.0148,4.91E-05,0.0894,0.326,119.922,aggressive
spotify:track:1j82fFDqVM2Sgb8tfMidBv,0.836,0.708,1,-4.065,1,0.0494,5.19E-05,0,0.0927,0.0374,120.045,aggressive
spotify:track:6XKUDYEbfo5zFupDkNGvrV,0.709,0.583,1,-5.738,1,0.185,0.0698,1.79E-06,0.0519,0.0376,144.819,aggressive
spotify:track:0da0nAdTGQNZ5jPUtZK0Vg,0.317,0.959,1,-0.962,1,0.538,0.118,1.44E-06,0.293,0.0648,179.789,aggressive
spotify:track:4fXtpQEh7EMrnWaf1lDpeE,0.543,0.909,10,-3.199,1,0.284,0.0254,0,0.126,0.43,139.833,aggressive
spotify:track:1meazaxMBeObBXh4sHxgee,0.526,0.965,4,2.363,0,0.31,0.105,1.15E-06,0.371,0.244,109.793,aggressive
